Date;Product_Category;Sales_Volume;Price;Promotion;Store_Location;Weekday;Supplier_Cost;Replenishment_Lead_Time;Stock_Level;Proxy_Margin;Promotion;Weekday
19/01/2022;Beverages;1585;1.235.674.774;1;Urban;2;1.404.713.995;9;393;1.095.203.375;Promotion;Wednesday
20/01/2022;Household;1419;160.661.658;1;Rural;3;5.361.546.226;6;252;1.070.461.957;Promotion;Thursday
21/01/2022;Snacks;1420;1.344.517.744;0;Suburban;4;1.471.739.797;6;148;1.197.343.764;No Promotion;Friday
22/01/2022;Personal Care;1849;1.985.053.301;0;Urban;5;1.464.247.544;2;328;520.805.757;No Promotion;Saturday
23/01/2022;Household;878;6.393.236.044;0;Suburban;6;1.234.612.166;8;258;-5.952.885.616;No Promotion;Sunday
24/01/2022;Beverages;1530;7.823.869.564;1;Urban;0;1.286.193.761;3;178;-5.038.068.046;Promotion;Monday
25/01/2022;Beverages;1892;8.293.095.885;1;Suburban;1;1.410.049.586;7;384;-5.807.399.975;Promotion;Tuesday
26/01/2022;Dairy;913;9.850.443.333;1;Suburban;2;1.734.000.549;5;337;8.116.442.784;Promotion;Wednesday
27/01/2022;Dairy;1736;1.688.396.321;0;Urban;3;6.091.165.091;3;301;1.079.279.812;No Promotion;Thursday
28/01/2022;Snacks;1528;5.480.049.785;1;Rural;4;1.530.005.891;1;314;3.950.043.894;Promotion;Friday
29/01/2022;Household;1469;1.574.400.393;0;Suburban;5;3.556.499.972;8;320;1.218.750.396;No Promotion;Saturday
30/01/2022;Household;1745;8.700.893.479;0;Rural;6;3.825.803.767;3;461;4.875.089.712;No Promotion;Sunday
31/01/2022;Dairy;519;1.243.525.229;0;Rural;0;730.205.456;2;457;513.319.773;No Promotion;Monday
01/02/2022;Household;1305;1.301.827.013;1;Urban;1;4.394.151.428;1;237;8.624.118.702;Promotion;Tuesday
02/02/2022;Household;1082;8.084.124.107;0;Urban;2;1.964.182.549;4;468;6.119.941.558;No Promotion;Wednesday
03/02/2022;Beverages;924;107.396.889;1;Urban;3;2.928.620.792;8;263;7.811.068.108;Promotion;Thursday
04/02/2022;Dairy;1124;8.847.592.318;1;Suburban;4;2.635.495.672;3;332;6.212.096.646;Promotion;Friday
05/02/2022;Personal Care;1954;2.313.522.938;0;Urban;5;1.460.961.357;1;260;-1.229.609.063;No Promotion;Saturday
06/02/2022;Dairy;666;9.306.142.388;0;Urban;6;1.150.974.135;4;414;-2.203.598.962;No Promotion;Sunday
07/02/2022;Personal Care;470;2.850.474.459;1;Suburban;0;1.453.254.125;9;125;-1.168.206.679;Promotion;Monday
08/02/2022;Beverages;1035;8.695.395.183;0;Suburban;1;6.876.237.054;1;197;1.819.158.129;No Promotion;Tuesday
09/02/2022;Snacks;760;122.654.496;1;Urban;2;4.536.342.984;2;370;7.729.106.616;Promotion;Wednesday
10/02/2022;Household;1554;1.200.888.309;0;Urban;3;1.207.525.136;9;262;-0.06636827;No Promotion;Thursday
11/02/2022;Beverages;1068;135.898.043;1;Urban;4;5.230.681.812;2;482;8.359.122.488;Promotion;Friday
12/02/2022;Household;1432;2.809.968.651;1;Urban;5;4.841.058.919;3;158;-2.031.090.268;Promotion;Saturday
13/02/2022;Snacks;1260;1.339.034.167;1;Rural;6;3.871.336.887;7;178;9.519.004.783;Promotion;Sunday
14/02/2022;Snacks;301;6.930.813.077;1;Rural;0;2.380.345.184;3;59;4.550.467.893;Promotion;Monday
15/02/2022;Beverages;1559;8.581.872.977;0;Urban;1;4.218.714.385;9;96;4.363.158.592;No Promotion;Tuesday
16/02/2022;Snacks;412;1.730.173.882;0;Rural;2;5.652.136.353;6;428;1.164.960.247;No Promotion;Wednesday
17/02/2022;Personal Care;216;1.171.577.678;1;Suburban;3;1.027.291.602;3;364;-9.101.338.342;Promotion;Thursday
18/02/2022;Snacks;1789;1.217.984.003;1;Rural;4;1.407.190.212;9;145;1.077.264.982;Promotion;Friday
19/02/2022;Household;1036;1.237.556.562;0;Rural;5;3.552.350.625;1;495;8.823.214.995;No Promotion;Saturday
20/02/2022;Household;1926;8.536.535.751;0;Urban;6;1.223.084.278;3;152;-3.694.307.029;No Promotion;Sunday
21/02/2022;Household;674;5.503.529.285;0;Rural;0;2.630.367.892;1;429;2.873.161.393;No Promotion;Monday
22/02/2022;Household;343;5.458.806.727;0;Rural;1;5.468.354.625;2;391;-0.009547898;No Promotion;Tuesday
23/02/2022;Personal Care;636;1.779.048.372;0;Rural;2;1.303.755.437;8;195;475.292.935;No Promotion;Wednesday
24/02/2022;Dairy;1725;9.398.463.102;0;Rural;3;2.746.417.012;7;417;665.204.609;No Promotion;Thursday
25/02/2022;Beverages;174;7.286.897.897;1;Suburban;4;1.699.684.116;2;479;5.587.213.781;Promotion;Friday
26/02/2022;Household;1929;9.526.773.903;0;Urban;5;7.525.800.929;2;465;2.000.972.974;No Promotion;Saturday
27/02/2022;Snacks;485;1.371.841.763;0;Urban;6;4.885.082.914;9;76;8.833.334.716;No Promotion;Sunday
28/02/2022;Household;1333;3.769.374.797;1;Suburban;0;8.669.421.285;6;269;-4.900.046.488;Promotion;Monday
01/03/2022;Snacks;574;9.539.242.869;0;Rural;1;1.215.517.091;5;67;-2.615.928.041;No Promotion;Tuesday
02/03/2022;Snacks;517;1.216.980.305;0;Suburban;2;2.488.653.078;6;216;9.681.149.972;No Promotion;Wednesday
03/03/2022;Household;446;1.902.308.374;0;Rural;3;8.920.136.726;9;482;1.010.294.701;No Promotion;Thursday
04/03/2022;Personal Care;1652;5.798.027.859;0;Suburban;4;7.829.877.026;7;131;-2.031.849.167;No Promotion;Friday
05/03/2022;Snacks;739;782.576.421;0;Urban;5;2.589.142.397;9;477;5.236.621.813;No Promotion;Saturday
06/03/2022;Snacks;1038;8.207.813.209;1;Urban;6;954.797.804;4;121;-1.340.164.831;Promotion;Sunday
07/03/2022;Household;1054;12.505.225;0;Urban;0;4.467.786.059;2;359;8.037.438.941;No Promotion;Monday
08/03/2022;Snacks;975;7.777.909.008;1;Rural;1;7.573.597.619;8;303;0.204311389;Promotion;Tuesday
09/03/2022;Snacks;862;1.113.672.658;1;Rural;2;1.692.948.702;4;211;9.443.777.878;Promotion;Wednesday
10/03/2022;Household;1302;1.585.401.627;0;Suburban;3;716.396.883;9;376;869.004.744;No Promotion;Thursday
11/03/2022;Household;1305;1.440.232.629;1;Suburban;4;4.943.720.287;4;469;9.458.606.003;Promotion;Friday
12/03/2022;Beverages;763;9.481.004.284;0;Urban;5;1.242.452.756;8;451;-2.943.523.276;No Promotion;Saturday
13/03/2022;Personal Care;124;1.742.010.738;1;Rural;6;1.326.191.541;9;87;1.609.391.584;Promotion;Sunday
14/03/2022;Personal Care;1303;1.160.466.474;1;Suburban;0;6.569.805.486;9;492;5.034.859.254;Promotion;Monday
15/03/2022;Snacks;809;1.125.821.095;0;Rural;1;714.725.565;4;442;41.109.553;No Promotion;Tuesday
16/03/2022;Personal Care;1624;1.649.567.553;0;Rural;2;1.101.258.811;1;250;-9.363.020.557;No Promotion;Wednesday
17/03/2022;Snacks;1979;1.974.716.663;0;Urban;3;8.827.169.839;3;249;1.091.999.679;No Promotion;Thursday
18/03/2022;Beverages;1284;3.336.445.362;0;Urban;4;1.017.457.889;9;304;-6.838.133.528;No Promotion;Friday
19/03/2022;Household;276;5.391.487.336;0;Rural;5;1.176.721.464;4;228;-6.375.727.304;No Promotion;Saturday
20/03/2022;Household;384;1.982.239.908;1;Rural;6;1.300.194.312;5;84;-1.101.970.321;Promotion;Sunday
21/03/2022;Household;162;1.316.005.637;1;Rural;0;5.051.194.702;7;131;8.108.861.668;Promotion;Monday
22/03/2022;Personal Care;1102;5.269.322.362;1;Rural;1;8.301.329.228;5;438;-3.032.006.866;Promotion;Tuesday
23/03/2022;Beverages;761;4.420.198.312;1;Urban;2;1.268.156.714;4;447;-8.261.368.828;Promotion;Wednesday
24/03/2022;Personal Care;765;26.825.561;1;Suburban;3;148.470.414;2;269;-121.644.853;Promotion;Thursday
25/03/2022;Personal Care;255;2.962.870.185;1;Urban;4;1.339.803.001;2;207;-1.043.515.983;Promotion;Friday
26/03/2022;Beverages;1592;1.210.874.331;1;Suburban;5;5.886.275.308;4;53;6.222.468.002;Promotion;Saturday
27/03/2022;Beverages;1172;1.407.594.945;0;Rural;6;33.299.145;9;216;1.074.603.495;No Promotion;Sunday
28/03/2022;Beverages;1066;8.550.200.781;0;Suburban;0;7.596.191.792;8;497;0.954008989;No Promotion;Monday
29/03/2022;Beverages;948;1.011.804.455;1;Urban;1;1.125.380.105;3;458;-11.357.565;Promotion;Tuesday
30/03/2022;Household;1207;1.403.338.698;1;Urban;2;7.642.251.526;9;461;6.391.135.454;Promotion;Wednesday
31/03/2022;Dairy;1484;1.330.216.014;0;Rural;3;7.506.122.518;5;253;-6.175.906.504;No Promotion;Thursday
01/04/2022;Dairy;788;7.139.482.484;0;Urban;4;1.265.434.111;3;243;-5.514.858.626;No Promotion;Friday
02/04/2022;Beverages;247;1.948.885.721;0;Rural;5;5.740.354.796;5;284;1.374.850.241;No Promotion;Saturday
03/04/2022;Dairy;1753;1.202.213.236;0;Urban;6;1.296.702.278;4;255;-0.94489042;No Promotion;Sunday
04/04/2022;Dairy;441;5.830.267.018;1;Urban;0;6.398.669.614;8;199;-0.568402596;Promotion;Monday
05/04/2022;Beverages;575;1.091.287.089;0;Rural;1;5.259.380.032;5;208;5.653.490.858;No Promotion;Tuesday
06/04/2022;Dairy;1186;7.510.416.274;1;Suburban;2;7.082.853.712;8;328;0.427562562;Promotion;Wednesday
07/04/2022;Personal Care;1824;1.111.265.479;1;Urban;3;115.554.809;9;353;-0.44282611;Promotion;Thursday
08/04/2022;Snacks;1483;3.389.088.724;1;Suburban;4;2.327.029.404;4;453;106.205.932;Promotion;Friday
09/04/2022;Snacks;660;3.521.578.423;0;Urban;5;334.807.863;7;430;0.173499793;No Promotion;Saturday
10/04/2022;Beverages;426;3.727.304.879;0;Urban;6;1.429.594.997;2;215;-1.056.864.509;No Promotion;Sunday
11/04/2022;Household;1892;1.885.657.605;1;Urban;0;3.044.628.597;6;360;1.581.194.745;Promotion;Monday
12/04/2022;Beverages;1859;1.492.507.945;1;Urban;1;873.204.611;8;117;619.303.334;Promotion;Tuesday
13/04/2022;Household;1264;4.085.255.999;1;Suburban;2;8.900.059.767;7;137;-4.814.803.768;Promotion;Wednesday
14/04/2022;Snacks;1089;4.578.632.592;0;Suburban;3;75.995.547;7;266;-3.020.922.108;No Promotion;Thursday
15/04/2022;Beverages;314;1.488.576.002;1;Urban;4;9.848.806.104;8;50;5.036.953.916;Promotion;Friday
16/04/2022;Personal Care;534;3.967.113.051;0;Urban;5;3.832.487.524;7;184;0.134625527;No Promotion;Saturday
17/04/2022;Dairy;1051;5.456.664.573;1;Suburban;6;8.513.602.883;5;234;-305.693.831;Promotion;Sunday
18/04/2022;Household;822;1.930.358.982;1;Rural;0;5.896.512.201;7;400;1.340.707.762;Promotion;Monday
19/04/2022;Dairy;1441;585.082.397;1;Rural;1;1.009.417.526;3;189;-424.335.129;Promotion;Tuesday
20/04/2022;Dairy;131;1.357.101.466;0;Suburban;2;2.547.741.379;5;155;1.102.327.328;No Promotion;Wednesday
21/04/2022;Beverages;769;1.959.399.446;0;Urban;3;8.777.722.544;7;182;1.081.627.192;No Promotion;Thursday
22/04/2022;Dairy;384;8.111.638.576;1;Urban;4;3.186.420.153;9;157;4.925.218.423;Promotion;Friday
23/04/2022;Personal Care;1428;1.332.803.826;0;Rural;5;4.540.324.415;2;227;-3.207.520.589;No Promotion;Saturday
24/04/2022;Dairy;528;5.638.798.518;1;Rural;6;3.671.292.105;4;347;1.967.506.413;Promotion;Sunday
25/04/2022;Beverages;1600;1.678.666.664;0;Suburban;0;3.151.147.808;7;407;1.363.551.883;No Promotion;Monday
26/04/2022;Personal Care;385;1.742.756.788;0;Rural;1;124.728.088;1;429;495.475.908;No Promotion;Tuesday
27/04/2022;Snacks;1267;1.560.186.793;0;Suburban;2;4.642.759.731;2;445;109.591.082;No Promotion;Wednesday
28/04/2022;Dairy;1547;3.149.086.562;1;Rural;3;1.394.329.484;9;408;-1.079.420.828;Promotion;Thursday
29/04/2022;Beverages;1142;1.611.469.706;0;Rural;4;1.456.393.462;7;195;155.076.244;No Promotion;Friday
30/04/2022;Snacks;117;1.845.487.814;0;Rural;5;8.783.276.814;7;499;9.671.601.326;No Promotion;Saturday
01/05/2022;Snacks;868;1.241.158.131;1;Urban;6;2.573.516.279;6;123;9.838.065.031;Promotion;Sunday
02/05/2022;Household;689;1.887.663.177;1;Urban;0;5.930.949.529;3;157;1.294.568.224;Promotion;Monday
03/05/2022;Personal Care;1494;1.670.993.879;1;Urban;1;1.206.711.782;3;171;464.282.097;Promotion;Tuesday
04/05/2022;Dairy;1298;1.367.245.882;1;Rural;2;5.827.165.566;2;66;7.845.293.254;Promotion;Wednesday
05/05/2022;Beverages;1109;119.665.195;0;Suburban;3;1.761.749.665;6;245;1.020.476.984;No Promotion;Thursday
06/05/2022;Household;293;7.622.899.678;0;Suburban;4;8.573.381.208;4;376;-0.95048153;No Promotion;Friday
07/05/2022;Personal Care;601;402.646.146;0;Suburban;5;1.275.425.235;5;367;-872.779.089;No Promotion;Saturday
08/05/2022;Household;1087;1.249.412.453;0;Suburban;6;1.204.093.261;3;346;0.45319192;No Promotion;Sunday
09/05/2022;Personal Care;1236;7.044.119.519;0;Urban;0;3.039.285.532;6;301;4.004.833.987;No Promotion;Monday
10/05/2022;Personal Care;213;1.746.233.468;1;Urban;1;1.025.508.691;3;168;720.724.777;Promotion;Tuesday
11/05/2022;Dairy;1345;1.987.340.181;0;Rural;2;369.731.182;8;211;1.617.608.999;No Promotion;Wednesday
12/05/2022;Personal Care;1801;1.529.612.749;0;Rural;3;3.664.009.251;9;247;1.163.211.824;No Promotion;Thursday
13/05/2022;Household;1046;271.915.221;0;Suburban;4;1.317.404.071;4;94;-104.548.885;No Promotion;Friday
14/05/2022;Personal Care;930;6.485.026.315;1;Urban;5;4.120.199.815;9;363;23.648.265;Promotion;Saturday
15/05/2022;Dairy;1767;3.073.083.004;1;Suburban;6;4.317.086.525;7;228;-1.244.003.521;Promotion;Sunday
16/05/2022;Dairy;1387;1.335.972.131;0;Rural;0;0.509474166;3;431;1.285.024.714;No Promotion;Monday
17/05/2022;Household;1024;1.553.862.643;1;Rural;1;1.312.470.099;7;467;241.392.544;Promotion;Tuesday
18/05/2022;Snacks;154;1.858.782.179;1;Suburban;2;1.199.262.479;1;93;6.595.197;Promotion;Wednesday
19/05/2022;Snacks;1994;9.325.274.582;1;Rural;3;9.596.269.559;3;320;-0.270994977;Promotion;Thursday
20/05/2022;Personal Care;1766;1.812.613.734;1;Suburban;4;1.137.885.358;6;127;674.728.376;Promotion;Friday
21/05/2022;Beverages;899;1.767.993.202;1;Urban;5;2.704.704.228;4;375;1.497.522.779;Promotion;Saturday
22/05/2022;Personal Care;877;7.026.718.619;1;Suburban;6;7.145.692.122;7;227;-0.118973503;Promotion;Sunday
23/05/2022;Household;1581;1.750.911.189;1;Urban;0;5.592.681.117;3;406;1.191.643.077;Promotion;Monday
24/05/2022;Household;261;8.137.772.786;0;Urban;1;1.859.759.631;1;465;6.278.013.155;No Promotion;Tuesday
25/05/2022;Household;1503;6.640.516.217;0;Rural;2;7.548.892.036;9;52;-0.908375819;No Promotion;Wednesday
26/05/2022;Household;186;1.333.241.852;1;Rural;3;1.385.072.493;6;263;-0.51830641;Promotion;Thursday
27/05/2022;Household;154;723.924.333;0;Rural;4;1.080.857.226;8;391;6.158.386.104;No Promotion;Friday
28/05/2022;Dairy;1599;1.297.396.622;0;Suburban;5;4.726.183.246;3;123;8.247.782.974;No Promotion;Saturday
29/05/2022;Snacks;1923;125.868.043;1;Suburban;6;3.509.343.575;8;100;9.077.460.725;Promotion;Sunday
30/05/2022;Household;1301;1.170.533.962;0;Rural;0;3.953.126.478;2;116;7.752.213.142;No Promotion;Monday
31/05/2022;Beverages;1514;822.797.438;1;Suburban;1;13.672.301;4;381;-544.432.662;Promotion;Tuesday
01/06/2022;Beverages;1472;1.142.149.471;1;Rural;2;7.287.001.286;3;142;4.134.493.424;Promotion;Wednesday
02/06/2022;Beverages;1131;1.233.322.402;1;Suburban;3;7.261.341.488;1;225;5.071.882.532;Promotion;Thursday
03/06/2022;Beverages;932;1.136.805.088;0;Urban;4;1.152.834.682;7;194;-0.16029594;No Promotion;Friday
04/06/2022;Dairy;412;9.443.969.602;0;Urban;5;2.740.136.958;2;56;6.703.832.644;No Promotion;Saturday
05/06/2022;Beverages;858;1.278.674.084;0;Rural;6;7.565.347.634;4;318;-628.667.355;No Promotion;Sunday
06/06/2022;Household;1958;1.215.417.245;0;Suburban;0;6.734.785.605;9;425;5.419.386.845;No Promotion;Monday
07/06/2022;Personal Care;542;4.200.443.318;1;Suburban;1;9.155.205.013;6;371;-4.954.761.695;Promotion;Tuesday
08/06/2022;Beverages;1890;1.320.894.341;1;Urban;2;149.935.867;8;53;-178.464.329;Promotion;Wednesday
09/06/2022;Dairy;427;1.542.754.223;0;Urban;3;1.165.700.896;2;187;377.053.327;No Promotion;Thursday
10/06/2022;Dairy;1177;1.050.846.087;1;Rural;4;6.269.052.694;7;280;4.239.408.176;Promotion;Friday
11/06/2022;Beverages;860;1.130.490.963;1;Urban;5;1.249.951.926;6;137;-119.460.963;Promotion;Saturday
12/06/2022;Personal Care;1362;1.907.809.263;0;Rural;6;2.975.271.268;9;66;1.610.282.136;No Promotion;Sunday
13/06/2022;Beverages;1352;1.709.617.987;1;Urban;0;0.941723451;7;101;1.615.445.642;Promotion;Monday
14/06/2022;Dairy;678;183.704.938;0;Urban;1;3.464.501.401;1;183;149.059.924;No Promotion;Tuesday
15/06/2022;Snacks;1174;1.646.155.948;1;Suburban;2;5.435.967.564;8;260;1.102.559.192;Promotion;Wednesday
16/06/2022;Household;1732;3.069.448.495;0;Urban;3;7.903.420.983;3;374;-4.833.972.488;No Promotion;Thursday
17/06/2022;Dairy;1727;3.830.845.263;1;Urban;4;9.419.372.538;2;442;-5.588.527.275;Promotion;Friday
18/06/2022;Beverages;1106;1.100.585.215;1;Rural;5;137.037.829;3;268;-269.793.075;Promotion;Saturday
19/06/2022;Household;1387;5.675.323.517;0;Urban;6;7.892.883.138;6;254;-2.217.559.621;No Promotion;Sunday
20/06/2022;Beverages;1541;1.005.721.403;0;Rural;0;7.768.496.847;3;260;2.288.717.183;No Promotion;Monday
21/06/2022;Beverages;1926;8.492.941.153;0;Urban;1;1.228.523.642;5;326;7.264.417.511;No Promotion;Tuesday
22/06/2022;Snacks;195;1.143.887.053;0;Urban;2;1.006.217.514;6;73;1.043.265.302;No Promotion;Wednesday
23/06/2022;Household;1211;1.519.063.861;1;Rural;3;8.491.819.448;8;53;6.698.819.162;Promotion;Thursday
24/06/2022;Household;1201;1.459.432.723;1;Suburban;4;6.853.589.892;7;201;7.740.737.338;Promotion;Friday
25/06/2022;Snacks;1411;1.090.344.852;0;Rural;5;1.266.811.573;8;492;-176.466.721;No Promotion;Saturday
26/06/2022;Dairy;1243;1.662.547.496;1;Rural;6;2.829.853.978;3;308;1.379.562.098;Promotion;Sunday
27/06/2022;Beverages;913;9.186.379.739;0;Rural;0;0.862089101;4;373;8.324.290.638;No Promotion;Monday
28/06/2022;Personal Care;590;1.803.757.151;0;Suburban;1;7.011.062.135;6;406;1.102.650.938;No Promotion;Tuesday
29/06/2022;Beverages;551;2.354.325.131;1;Urban;2;3.943.439.073;7;217;-1.589.113.942;Promotion;Wednesday
30/06/2022;Beverages;1623;1.913.854.057;1;Rural;3;1.219.408.413;9;225;1.791.913.216;Promotion;Thursday
01/07/2022;Dairy;264;1.343.916.855;0;Rural;4;1.100.667.516;1;359;243.249.339;No Promotion;Friday
02/07/2022;Beverages;281;822.141.567;0;Suburban;5;2.118.098.499;8;340;6.103.317.171;No Promotion;Saturday
03/07/2022;Snacks;568;4.745.928.405;0;Rural;6;932.063.275;8;105;-4.574.704.345;No Promotion;Sunday
04/07/2022;Snacks;1009;1.010.448.136;1;Urban;0;4.575.221.377;6;157;5.529.259.983;Promotion;Monday
05/07/2022;Household;834;4.696.608.141;1;Suburban;1;301.569.273;4;345;1.680.915.411;Promotion;Tuesday
06/07/2022;Personal Care;922;4.160.300.547;1;Urban;2;6.006.397.082;3;373;-1.846.096.535;Promotion;Wednesday
07/07/2022;Beverages;1043;1.272.968.339;1;Urban;3;1.212.096.376;3;351;0.60871963;Promotion;Thursday
08/07/2022;Beverages;106;1.093.860.977;0;Suburban;4;6.185.356.865;6;383;4.753.252.905;No Promotion;Friday
09/07/2022;Dairy;429;1.373.182.466;0;Rural;5;1.138.615.991;8;190;234.566.475;No Promotion;Saturday
10/07/2022;Snacks;874;1.866.251.167;0;Urban;6;2.319.551.304;7;204;1.634.296.037;No Promotion;Sunday
11/07/2022;Personal Care;1796;1.111.294.405;0;Urban;0;1.170.518.559;1;311;-0.59224154;No Promotion;Monday
12/07/2022;Household;250;1.203.770.901;0;Urban;1;3.935.533.211;6;322;8.102.175.799;No Promotion;Tuesday
13/07/2022;Snacks;1208;2.702.900.444;0;Urban;2;1.032.220.038;7;469;-7.619.299.936;No Promotion;Wednesday
14/07/2022;Household;246;1.463.507.993;1;Suburban;3;8.703.832.545;7;281;5.931.247.385;Promotion;Thursday
15/07/2022;Dairy;1747;8.598.198.929;1;Suburban;4;139.725.984;9;290;-5.374.399.471;Promotion;Friday
16/07/2022;Dairy;1504;1.955.777.953;0;Urban;5;6.116.176.511;5;404;1.344.160.302;No Promotion;Saturday
17/07/2022;Beverages;1014;166.403.063;0;Rural;6;1.459.395.238;1;386;1.518.091.106;No Promotion;Sunday
18/07/2022;Personal Care;1671;1.092.713.977;1;Urban;0;0.77775454;2;307;1.014.938.523;Promotion;Monday
19/07/2022;Household;1408;3.341.230.429;1;Rural;1;1.248.944.913;4;298;-9.148.218.701;Promotion;Tuesday
20/07/2022;Snacks;799;1.732.890.007;1;Urban;2;8.108.666.746;5;126;9.220.233.324;Promotion;Wednesday
21/07/2022;Dairy;181;1.619.584.081;1;Rural;3;1.174.103.875;9;229;445.480.206;Promotion;Thursday
22/07/2022;Beverages;613;4.507.117.461;0;Urban;4;38.991.712;1;115;0.607946261;No Promotion;Friday
23/07/2022;Beverages;914;6.610.287.495;0;Rural;5;550.371.431;3;357;1.106.573.185;No Promotion;Saturday
24/07/2022;Household;808;160.747.379;0;Urban;6;0.936506147;5;397;1.513.823.175;No Promotion;Sunday
25/07/2022;Dairy;1646;4.519.340.484;0;Urban;0;1.444.163.871;3;220;-9.922.298.226;No Promotion;Monday
26/07/2022;Personal Care;845;1.843.729.729;0;Rural;1;1.018.408.465;4;71;825.321.264;No Promotion;Tuesday
27/07/2022;Dairy;1122;9.066.021.079;1;Suburban;2;1.403.147.377;3;416;-4.965.452.691;Promotion;Wednesday
28/07/2022;Household;1509;2.653.740.289;0;Rural;3;4.349.697.908;4;156;-1.695.957.619;No Promotion;Thursday
29/07/2022;Household;806;1.649.922.423;1;Suburban;4;9.366.222.363;1;488;7.133.001.867;Promotion;Friday
30/07/2022;Dairy;570;8.096.683.978;0;Urban;5;1.033.824.954;8;372;-2.241.565.562;No Promotion;Saturday
31/07/2022;Household;1242;1.100.348.469;0;Rural;6;5.104.470.654;4;276;5.899.014.036;No Promotion;Sunday
01/08/2022;Dairy;495;3.133.782.544;0;Rural;0;1.279.758.391;7;493;-9.663.801.366;No Promotion;Monday
02/08/2022;Snacks;1655;1.049.096.282;0;Rural;1;1.423.384.121;2;491;-1.318.474.493;No Promotion;Tuesday
03/08/2022;Dairy;360;1.312.171.891;0;Suburban;2;1.333.039.921;2;445;-0.2086803;No Promotion;Wednesday
04/08/2022;Dairy;904;1.078.832.824;1;Suburban;3;1.121.647.115;6;265;-0.42814291;Promotion;Thursday
05/08/2022;Household;1033;1.227.723.281;1;Urban;4;4.523.237.856;2;118;7.753.994.954;Promotion;Friday
06/08/2022;Household;1379;1.608.113.316;1;Suburban;5;4.583.432.611;6;133;1.149.770.055;Promotion;Saturday
07/08/2022;Beverages;1857;1.328.551.236;0;Suburban;6;1.446.872.465;2;152;-118.321.229;No Promotion;Sunday
08/08/2022;Beverages;1004;4.320.695.414;0;Urban;0;0.649125191;4;88;3.671.570.223;No Promotion;Monday
09/08/2022;Snacks;1349;7.854.677.863;1;Rural;1;1.088.272.461;7;62;-3.028.046.747;Promotion;Tuesday
10/08/2022;Beverages;1176;1.821.193.099;0;Rural;2;1.074.056.936;8;346;747.136.163;No Promotion;Wednesday
11/08/2022;Dairy;1039;156.289.493;0;Urban;3;9.528.998.344;3;362;6.099.950.956;No Promotion;Thursday
12/08/2022;Household;1990;115.761.041;1;Rural;4;1.485.657.827;9;230;-328.047.417;Promotion;Friday
13/08/2022;Beverages;1623;5.857.254.958;0;Suburban;5;5.022.251.819;2;317;0.835003139;No Promotion;Saturday
14/08/2022;Beverages;1629;6.739.149.535;1;Urban;6;5.429.592.025;8;62;130.955.751;Promotion;Sunday
15/08/2022;Snacks;953;1.490.720.328;0;Urban;0;1.644.621.343;8;169;1.326.258.194;No Promotion;Monday
16/08/2022;Snacks;1487;1.717.231.096;1;Urban;1;692.057.298;4;402;1.025.173.798;Promotion;Tuesday
17/08/2022;Dairy;1403;1.375.706.872;0;Rural;2;428.520.363;1;106;947.186.509;No Promotion;Wednesday
